source_id,ra,dec,parallax,pmra,pmdec,cluster,Probability,pm
5350395418138498816,161.17433316864745,-59.33804556302023,0.3756013721699003,-6.001942911590023,1.8635527904466973,2,0.9019795609568364,6.284596
5350395418139098880,161.18638522277078,-59.351270332387685,0.31532129702503925,-5.902333390321339,1.9250462931873653,2,0.9163495899190456,6.2083287
5350395418140485376,161.19156756947055,-59.35745608221018,0.43827097174215,-6.25093006403288,2.2420702210774524,2,0.9251156535358313,6.6408587
5350395448172614912,161.1612908501236,-59.34728406187779,0.4093136100310973,-6.037268359767017,2.0617453298628794,2,0.9222194305825844,6.379608
5350395448176872576,161.13624558164767,-59.345967009405975,0.2981425668052977,-6.063408596402764,2.6214186975654363,2,0.9296244655995242,6.6058125
5350395448176873600,161.13842196866852,-59.34348395479519,0.4642845312935843,-6.058953991297088,1.969339287827355,2,0.9065589205216332,6.370967
5350395448176875520,161.14327153595949,-59.339523182561464,0.2121414762658716,-5.711325769616003,1.9038041932854568,2,0.9018839083094762,6.020275
5350395448176879488,161.1539854989654,-59.35618240922568,0.39140591309862427,-6.153672038894339,1.8755512525471247,2,0.9101490797428964,6.433146499999999
5350395452498189568,161.1525589696261,-59.35555762581305,0.3676187643178275,-5.9826865049793225,2.0217988315594373,2,0.9263210996256978,6.315078
5350395452498189824,161.15694813467658,-59.35725582452276,0.34432927824467585,-6.0212931137311125,2.3860009764532477,2,0.9372977734506948,6.4768023
5350395452498194304,161.1590887746496,-59.35591939271604,0.2912230381784642,-6.640222484270222,2.2112451803804456,2,0.9170342882810238,6.9987254
5350395482536617472,161.15295999768557,-59.33076522863615,0.4824381595942206,-6.1564595546608585,2.0350117451316447,2,0.9005417455058317,6.484078
5350395486857955712,161.15867014480443,-59.342852886623966,0.0971211161025711,-6.041735681864865,2.4344090489153185,2,0.9157600310212508,6.5137480000000005
5350395486857958144,161.1629241170126,-59.343215648126936,0.4126530307119045,-6.301156440363164,2.3243609980540567,2,0.9276404722167524,6.7161913
5350395486857958912,161.15687405703198,-59.34001845715081,0.3897742003624248,-6.121856493533432,2.060524218886239,2,0.9221120387865928,6.459326
